epoch 204, time 6.3, train_loss 0.21, val_loss 0.43 
epoch 205, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 206, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 207, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 208, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 209, time 6.4, train_loss 0.21, val_loss 0.43 
epoch 210, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 211, time 6.0, train_loss 0.21, val_loss 0.43 
epoch 212, time 6.6, train_loss 0.22, val_loss 0.43 
epoch 213, time 6.3, train_loss 0.21, val_loss 0.43 
epoch 214, time 6.9, train_loss 0.21, val_loss 0.43 
epoch 215, time 6.6, train_loss 0.21, val_loss 0.43 
epoch 216, time 6.2, train_loss 0.21, val_loss 0.43 
epoch 217, time 6.2, train_loss 0.21, val_loss 0.43 
epoch 218, time 6.3, train_loss 0.21, val_loss 0.43 
epoch 219, time 6.7, train_loss 0.21, val_loss 0.43 
epoch 220, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 221, time 6.4, train_loss 0.21, val_loss 0.43 
epoch 222, time 7.0, train_loss 0.21, val_loss 0.43 
epoch 223, time 6.4, train_loss 0.21, val_loss 0.43 
epoch 224, time 6.6, train_loss 0.21, val_loss 0.43 
Early stopping due to small lr: 1.0000000000000002e-06
